Unnamed: 0,ID,Name,Sex,Age,NOC,Team,Sport,Event,Medal,Year,Season,Height,Weight,Games,City,region,notes
1,1346266,AALERUD Katrine,Female,26.0,NOR,Norway,Cycling Road,Women's Road Race,,2020,Summer,,,2020 Summer,Tokyo,Norway,
2,1346266,AALERUD Katrine,Female,26.0,NOR,Norway,Cycling Road,Women's Individual Time Trial,,2020,Summer,,,2020 Summer,Tokyo,Norway,
3,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's All-Around,,2020,Summer,,,2020 Summer,Tokyo,Spain,
4,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Floor Exercise,,2020,Summer,,,2020 Summer,Tokyo,Spain,
5,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Pommel Horse,,2020,Summer,,,2020 Summer,Tokyo,Spain,
6,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Rings,,2020,Summer,,,2020 Summer,Tokyo,Spain,
7,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Vault,,2020,Summer,,,2020 Summer,Tokyo,Spain,
8,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Parallel Bars,,2020,Summer,,,2020 Summer,Tokyo,Spain,
9,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Horizontal Bar,,2020,Summer,,,2020 Summer,Tokyo,Spain,
10,1355250,ABAD Nestor,Male,28.0,ESP,Spain,Artistic Gymnastics,Men's Team,,2020,Summer,,,2020 Summer,Tokyo,Spain,
11,1321381,ABAGNALE Giovanni,Male,26.0,ITA,Italy,Rowing,Men's Pair Team,,2020,Summer,,,2020 Summer,Tokyo,Italy,
12,1322233,ABALDE Alberto,Male,25.0,ESP,Spain,Basketball,Men Team,,2020,Summer,,,2020 Summer,Tokyo,Spain,
13,1322271,ABALDE Tamara,Female,32.0,ESP,Spain,Basketball,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Spain,
14,1350409,ABALO Luc,Male,36.0,FRA,France,Handball,Men Team,Gold,2020,Summer,,,2020 Summer,Tokyo,France,
15,1309960,ABAROA Cesar,Male,24.0,CHI,Chile,Rowing,Lightweight Men's Double Sculls Team,,2020,Summer,,,2020 Summer,Tokyo,Chile,
16,1344792,ABASS Abobakr,Male,22.0,SUD,Sudan,Swimming,Men's 100m Breaststroke,,2020,Summer,,,2020 Summer,Tokyo,Sudan,
17,1331787,ABBAGNALE Vincenzo,Male,28.0,ITA,Italy,Rowing,Men's Pair Team,,2020,Summer,,,2020 Summer,Tokyo,Italy,
18,1284763,ABBASALI Hamideh,Female,31.0,IRI,Iran,Karate,Women's Kumite +61kg,,2020,Summer,,,2020 Summer,Tokyo,Iran,
19,1433032,ABBASOV Islam,Male,25.0,AZE,Azerbaijan,Wrestling,Men's Greco-Roman 87kg,,2020,Summer,,,2020 Summer,Tokyo,Azerbaijan,
20,1456949,ABBINGH Lois,Female,28.0,NED,Netherlands,Handball,Women Team,,2020,Summer,,,2020 Summer,Tokyo,Netherlands,
21,1349883,ABBOT Emily,Female,24.0,AUS,Australia,Rhythmic Gymnastics,Group All-Around Team,,2020,Summer,,,2020 Summer,Tokyo,Australia,
22,1310126,ABBOTT Monica,Female,36.0,USA,United States,Baseball/Softball,Softball Team,Silver,2020,Summer,,,2020 Summer,Tokyo,USA,
23,1328854,ABDALLA Abubaker Haydar,Male,24.0,QAT,Qatar,Athletics,Men's 800m,,2020,Summer,,,2020 Summer,Tokyo,Qatar,
24,1898618,ABDALRASOOL Mohamed,Male,28.0,SUD,Sudan,Judo,Men -73 kg,,2020,Summer,,,2020 Summer,Tokyo,Sudan,
25,1306332,ABDEL LATIF Radwa,Female,31.0,EGY,Egypt,Shooting,10m Air Pistol Women,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
26,1306332,ABDEL LATIF Radwa,Female,31.0,EGY,Egypt,Shooting,10m Air Pistol Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
27,1306339,ABDEL RAZEK Samy,Male,41.0,EGY,Egypt,Shooting,10m Air Pistol Men,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
28,1306339,ABDEL RAZEK Samy,Male,41.0,EGY,Egypt,Shooting,10m Air Pistol Mixed Team,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
29,1301765,ABDELAAL Mohamed,Male,31.0,EGY,Egypt,Judo,Men -81 kg,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
30,1306315,ABDELAZIZ Abdalla,Male,22.0,EGY,Egypt,Karate,Men's Kumite -75kg,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
31,1296357,ABDELAZIZ Farah,Female,28.0,EGY,Egypt,Table Tennis,Women's Team,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
32,1306348,ABDELAZIZ Feryal,Female,22.0,EGY,Egypt,Karate,Women's Kumite +61kg,Gold,2020,Summer,,,2020 Summer,Tokyo,Egypt,
33,1301783,ABDELMAWGOUD Mohamed,Male,27.0,EGY,Egypt,Judo,Men -66 kg,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
34,1307194,ABDELMOTTALEB Diaaeldin Kamal Gouda,Male,28.0,EGY,Egypt,Wrestling,Men's Freestyle 125kg,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
35,1312038,ABDELRAHMAN Ihab,Male,32.0,EGY,Egypt,Athletics,Men's Javelin Throw,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
36,1381598,ABDELSALAM Mohamed,Male,23.0,EGY,Egypt,Football,Men Team,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
37,1313054,ABDELSALAM Nour,Female,28.0,EGY,Egypt,Taekwondo,Women -49kg,,2020,Summer,,,2020 Summer,Tokyo,Egypt,
38,1305691,ABDELWAHED Ahmed,Male,25.0,ITA,Italy,Athletics,Men's 3000m Steeplechase,,2020,Summer,,,2020 Summer,Tokyo,Italy,
39,1401953,ABDI Bashir,Male,32.0,BEL,Belgium,Athletics,Men's Marathon,Bronze,2020,Summer,,,2020 Summer,Tokyo,Belgium,
40,1363139,ABDIRAHMAN Abdi,Male,44.0,USA,United States,Athletics,Men's Marathon,,2020,Summer,,,2020 Summer,Tokyo,USA,
41,1464004,ABDUL HADI Farah Ann,Female,27.0,MAS,Malaysia,Artistic Gymnastics,Women's All-Around,,2020,Summer,,,2020 Summer,Tokyo,Malaysia,
