Medal,Event,ID,Sport,Name,Sex,NOC,Team,Height,Weight,Age,City,Year,Season,notes,Games,region
Silver,Men's Greco-Roman 97kg,1532872,Wrestling,ALEKSANYAN Artur,Male,ARM,Armenia,0.0,0.0,33.0,Paris,2024,Summer,,2024 Summer,Armenia
Bronze,Men's Greco-Roman 77kg,1532873,Wrestling,AMOYAN Malkhas,Male,ARM,Armenia,0.0,0.0,25.0,Paris,2024,Summer,,2024 Summer,Armenia
,,1532874,,GALSTYAN Slavik,Male,ARM,Armenia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Armenia
,,1532944,,HARUTYUNYAN Arsen,Male,ARM,Armenia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Armenia
,,1532945,,TEVANYAN Vazgen,Male,ARM,Armenia,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Armenia
,,1532951,,ARENAS Lorena,Female,COL,Colombia,162.0,0.0,,Paris,2024,Summer,,2024 Summer,Colombia
,,1533112,,McKENZIE Ashley,Male,JAM,Jamaica,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Jamaica
,,1533136,,BASS BITTAYE Gina Mariam,Female,GAM,Gambia,161.0,0.0,,Paris,2024,Summer,,2024 Summer,Gambia
,,1533176,,CAMARA Ebrahima,Male,GAM,Gambia,178.0,0.0,,Paris,2024,Summer,,2024 Summer,Gambia
,,1533188,,RUEDA SANTOS Lizeth,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533189,,TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533190,,GRAJALES Crisanto,Male,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533208,,MAAROUFOU Hachim,Male,COM,Comoros,183.0,0.0,,Paris,2024,Summer,,2024 Summer,Comoros
,,1533209,,SAADI Maesha,Female,COM,Comoros,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Comoros
,,1533230,,DIOSDADO Nuria,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533231,,JIMENEZ Joana,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533232,,SOBRINO Jessica,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533234,,ALFEREZ Regina,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533235,,ARELLANO Fernanda,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533237,,TOSCANO Pamela,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533239,,GONZALEZ Itzamary,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533240,,RODRIGUEZ Samanta,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533243,,INZUNZA Glenda,Female,MEX,Mexico,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Mexico
,,1533245,,SEHEN Sajjad,Male,IRQ,Iraq,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1533359,,RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,0.0,0.0,,Paris,2024,Summer,,2024 Summer,Iraq
,,1533364,,ISMAIL Mohamed,Male,DJI,Djibouti,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Djibouti
,,1533371,,HASSAN Ibrahim,Male,DJI,Djibouti,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Djibouti
,,1533372,,WAISS Abdi,Male,DJI,Djibouti,170.0,0.0,,Paris,2024,Summer,,2024 Summer,Djibouti
,,1533374,,HASSAN NOUR Samiyah,Female,DJI,Djibouti,160.0,0.0,,Paris,2024,Summer,,2024 Summer,Djibouti
